time,close,Volume
2000-06-01,1616,NaN
2000-07-03,1642,NaN
2000-08-01,1652,NaN
2000-09-01,1739,NaN
2000-10-02,1759,NaN
2000-11-01,1672,NaN
2000-12-01,1599,NaN
2001-01-01,1504,NaN
2001-02-01,1537,NaN
2001-03-01,1438,NaN
2001-04-02,1459,NaN
2001-05-01,1389,NaN
2001-06-01,1386,NaN
2001-07-02,1049,NaN
2001-08-01,927,NaN
2001-09-03,952,NaN
2001-10-01,861,NaN
2001-11-01,868,NaN
2001-12-03,876,NaN
2002-01-01,908,NaN
2002-02-01,1031,NaN
2002-03-01,1082,NaN
2002-04-01,1027,NaN
2002-05-01,1042,NaN
2002-06-03,1005,NaN
2002-07-01,968,NaN
2002-08-01,1036,NaN
2002-09-02,1367,NaN
2002-10-01,1417,NaN
2002-11-01,1560,NaN
2002-12-02,1738,NaN
2003-01-01,1530,NaN
2003-02-03,1764,NaN
2003-03-03,1939,NaN
2003-04-01,2142,NaN
2003-05-01,2127,NaN
2003-06-02,2125,NaN
2003-07-01,2181,NaN
2003-08-01,2265,NaN
2003-09-01,2993,NaN
2003-10-01,4555,NaN
2003-11-03,4417,NaN
2003-12-01,4765,NaN
2004-01-01,5551,NaN
2004-02-02,5263,NaN
2004-03-01,4822,NaN
2004-04-01,3982,NaN
2004-05-03,3286,NaN
2004-06-01,3005,NaN
2004-07-01,4048,NaN
2004-08-02,4186,NaN
2004-09-01,4105,NaN
2004-10-01,4922,NaN
2004-11-01,6051,NaN
2004-12-01,4598,NaN
2005-01-03,4488,NaN
2005-02-01,4726,NaN
2005-03-01,4637,NaN
2005-04-01,3850,NaN
2005-05-02,3219,NaN
2005-06-01,2521,NaN
2005-07-01,1804,NaN
2005-08-01,2592,NaN
2005-09-01,2907,NaN
2005-10-03,3113,NaN
2005-11-01,2770,NaN
2005-12-01,2407,NaN
2006-01-02,2081,NaN
2006-02-01,2680,NaN
2006-03-01,2496,NaN
2006-04-03,2368,NaN
2006-05-01,2436,NaN
2006-06-01,2964,NaN
2006-07-03,3285,NaN
2006-08-01,3847,NaN
2006-09-01,3944,NaN
2006-10-02,4037,NaN
2006-11-01,4336,NaN
2006-12-01,4397,NaN
2007-01-01,4225,NaN
2007-02-01,4765,NaN
2007-03-01,5388,NaN
2007-04-02,6248,NaN
2007-05-01,5971,NaN
2007-06-01,6278,NaN
2007-07-02,6967,NaN
2007-08-01,7702,NaN
2007-09-03,9474,NaN
2007-10-01,10656,NaN
2007-11-01,10210,NaN
2007-12-03,9143,NaN
2008-01-01,6052,NaN
2008-02-01,7613,NaN
2008-03-03,8081,NaN
2008-04-01,9356,NaN
2008-05-01,11440,NaN
2008-06-02,9589,NaN
2008-07-01,8341,NaN
2008-08-01,6809,NaN
2008-09-01,3217,NaN
2008-10-01,851,NaN
2008-11-03,715,NaN
2008-12-01,774,NaN
2009-01-01,1070,NaN
2009-02-02,1986,NaN
2009-03-02,1615,NaN
2009-04-01,1786,NaN
2009-05-01,3494,NaN
2009-06-01,3757,NaN
2009-07-01,3350,NaN
2009-08-03,2421,NaN
2009-09-01,2220,NaN
2009-10-01,3103,NaN
2009-11-02,3887,NaN
2009-12-01,3005,NaN
2010-01-01,2848,NaN
2010-02-01,2738,NaN
2010-03-01,2998,NaN
2010-04-01,3354,NaN
2010-05-03,4078,NaN
2010-06-01,2406,NaN
2010-07-01,1967,NaN
2010-08-02,2713,NaN
2010-09-01,2446,NaN
2010-10-01,2678,NaN
2010-11-01,2099,NaN
2010-12-01,1773,NaN
2011-01-03,1107,NaN
2011-02-01,1251,NaN
2011-03-01,1530,NaN
2011-04-01,1269,NaN
2011-05-02,1480,NaN
2011-06-01,1413,NaN
2011-07-01,1264,NaN
2011-08-01,1619,NaN
2011-09-01,1899,NaN
2011-10-03,1965,NaN
2011-11-01,1846,NaN
2011-12-01,1738,NaN
2012-01-02,680,NaN
2012-02-01,750,NaN
2012-03-01,934,NaN
2012-04-02,1155,NaN
2012-05-01,923,NaN
2012-06-01,1004,NaN
2012-07-02,897,NaN
2012-08-01,703,NaN
2012-09-03,766,NaN
2012-10-01,1026,NaN
2012-11-01,1086,NaN
2012-12-03,699,NaN
2013-01-01,760,NaN
2013-02-01,757,NaN
2013-03-01,910,NaN
2013-04-01,863,NaN
2013-05-01,809,NaN
2013-06-03,1171,NaN
2013-07-01,1062,NaN
2013-08-01,1132,NaN
2013-09-02,2003,NaN
2013-10-01,1504,NaN
2013-11-01,1821,NaN
